;COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;REQUISITO;REQUISITO PYTHON;Ruta Critica
485;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR196;CHINO BÁSICO 2;CHINO BÁSICO 2;43TR196;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;7;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
486;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR190;PORTUGUÉS INTERMEDIO 1;PORTUGUÉS INTERMEDIO 1;43TR190;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;7;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
487;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR222;ENGLISH COMPOSITION 1;ENGLISH COMPOSITION 1;43TR222;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;7;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
488;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR211;LATÍN 2;LATÍN 2;43TR211;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;7;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
489;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR240;FRANCÉS BÁSICO 2;FRANCÉS BÁSICO 2;43TR240;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;7;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
490;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN329;FACTORES HUMANOS;FACTORES HUMANOS;43IN329;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;8;5;0;2019-06-05 10:16:04;JAGUILAR;;;5;;;0.0
491;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN216;GERENCIA DE PROYECTOS;GERENCIA DE PROYECTOS;43IN216;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;7;4;0;2019-06-05 07:49:09;JAGUILAR;2019-06-05 11:47:13;JAGUILAR;4;;;0.0
492;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN210;SEMINARIO DE INVESTIGACIÓN ACADÉMICA II (ING);SEM. INV. ACAD. II (ING);43IN210;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;8;3;0;2019-06-05 07:49:09;JAGUILAR;2019-06-05 07:52:58;JAGUILAR;3;;;0.0
493;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AM131;COMPETITIVE STRATEGY;COMPETITIVE STRATEGY;43AM131;AM;ADMINISTRACION Y MARKETING;ELECTIVO;8;3;0;2019-06-05 07:49:09;JAGUILAR;;;3;;;0.0
494;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR197;CHINO BÁSICO 3;CHINO BÁSICO 3;43TR197;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;8;3;0;2019-06-05 07:49:09;JAGUILAR;;;3;;;0.0
495;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR191;PORTUGUÉS INTERMEDIO 2;PORTUGUÉS INTERMEDIO 2;43TR191;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;8;3;0;2019-06-05 07:49:09;JAGUILAR;;;3;;;0.0
496;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR223;ENGLISH COMPOSITION 2;ENGLISH COMPOSITION 2;43TR223;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;8;3;0;2019-06-05 07:49:09;JAGUILAR;;;3;;;0.0
497;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN232;EX - INFORMÁTICA PARA LOS NEGOCIOS;EX - INFORM. PARA LOS NEG;43IN232;IN;INGENIERIA INDUSTRIAL;ELECTIVO;9;3;0;2019-06-05 07:49:09;JAGUILAR;;;3;;;0.0
498;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN330;TOPICOS AVANZADOS DE LOGÍSTICA;TOPICOS AVANZADOS DE LOGÍ;43IN330;IN;INGENIERIA INDUSTRIAL;ELECTIVO;9;3;0;2019-06-05 17:59:57;JAGUILAR;;;3;;;0.0
