COD_ALUMNO;201901;201902;202001;202002;cuantos ciclos tiene el alumno;curricula ;nivel alumno;201901;201902;202001;202002;18;23;27;MAX_CREDITAJE;NUM_TURNO;POND_ACTUAL;POND_ACUMULADO;NUM_OBS_CONS;NUM_OBS_ALTE;TIPO_MERITO;m_habil_COD_CURSO;201901;201902;202001;202002;201901;201902;202001;202002;COD_ESTADO_MAT_CUR;NUM_VEZ_CURSO;Extra_acad;NO;SI;promadio de aprobacion de cursos de manera historica;ADMINISTRACION;ADMINISTRACION Y MARKETING;ADMINISTRACION Y RECURSOS HUMANOS;CIENCIAS;ECONOMIA Y NEGOCIOS INTERNACIONALES;HUMANIDADES;INGENIERIA INDUSTRIAL;INICIATIVA EMPRESARIAL;TRADUCCION E INTERPRETACION PROFESIONAL;#N/D;m_habil_DES_TIPO_INGRESO;SEXO;Edad;201901;201902;202001;202002;0;1;RIESGO
201612544;4;3;;;2;41;2;23;18;0;0;1;1;0;2;114;9;12.92;1;2;0;3;4;3;0;0;3;0;0;0;43%;;0;3;0;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;GENERAL;0;22;0;0;0;0;4;0;0
201623017;12;5;1;;3;44;2;18;18;18;0;3;0;0;1;120;55;10.03;3;3;0;1;12;5;1;0;4;3;0;0;39%;;0;7;0;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;SELECCIÓN PREFERENTE;0;24;0;1;1;0;2;2;0
201817712;8;8;12;17;4;44;6;27;27;27;23;0;1;3;3.5;96;14.61;15.95;0;0;1;17;8;8;12;17;5;6;6;6;51%;;0;0;17;74%;0%;0%;0%;100%;100%;0%;100%;0%;0%;0%;SELECCIÓN PREFERENTE;0;19;0;0;0;0;4;0;0
201524006;5;4;;;2;41;2;18;18;0;0;2;0;0;1;110;0;0;0;0;0;4;5;4;0;0;0;0;0;0;0%;;0;#N/D;#N/D;0%;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;GENERAL;1;0;1;1;0;0;2;2;0
201620417;5;6;9;10;4;44;4;23;18;23;18;2;2;0;2;114;12.7;12.01;1;3;0;10;5;6;9;10;5;3;5;5;60%;;0;5;8;44%;0%;0%;0%;67%;0%;0%;57%;0%;0%;0%;EVALUACION INTEGRAL;1;23;0;1;0;0;3;1;0
201820019;9;8;7;11;4;44;3;23;23;18;23;1;3;0;3.5;102;14.24;13.33;1;1;0;11;9;8;7;11;5;6;4;5;57%;;1|;5;9;45%;0%;0%;0%;67%;0%;75%;50%;0%;0%;0%;SELECCIÓN PREFERENTE;0;20;0;0;0;0;4;0;0
201619786;8;7;;;2;41;2;18;18;0;0;2;0;0;1;118;5;10.8;4;5;0;7;8;7;0;0;0;2;0;0;13%;;0;2;0;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;GENERAL;1;24;1;1;0;0;2;2;0
201720737;7;7;8;11;4;44;3;18;23;23;23;1;3;0;3.5;110;13.37;13.42;0;1;0;11;7;7;8;11;4;4;5;6;58%;;0;4;9;47%;0%;0%;0%;71%;0%;100%;60%;0%;0%;0%;SELECCIÓN PREFERENTE;1;20;0;0;0;0;4;0;0
201810270;7;6;6;7;4;44;3;23;18;18;27;2;1;1;4.5;53;16.4;12.31;2;3;0;7;7;6;6;7;4;4;4;6;69%;;0;6;6;33%;0%;0%;0%;33%;0%;100%;60%;0%;0%;0%;SELECCIÓN PREFERENTE;1;21;0;0;1;0;3;1;0
201714697;5;3;7;10;4;44;4;18;18;23;27;2;1;1;4.5;79;15.4;13.73;3;2;0;10;5;3;7;10;4;3;5;6;72%;;0;4;8;44%;0%;0%;0%;83%;0%;0%;75%;0%;0%;0%;EVALUACION INTEGRAL;0;21;0;0;0;0;4;0;0
